pais_estudio,id_pais,lat,long
Chile,ch,-33.45,-70.66
México,me,19.419,-99.145
Estados Unidos,usa,39.01,-117.72
Rusia,ru,55.75,37.61
Perú,pe,-12.04,-77.03
España,es,40.418,-3.69
Suiza,su,46.95,7.43
Inglaterra,in,51.5,-0.116
Francia,fr,48.85,2.35
Argentina,ar,-34.59,-58.38
Nueva Zelanda,nz,-41.28,174.77
Holanda,ho,52.31,5.55
Canadá,ca,45.41,-75.7
Alemania,al,50.73,7.099
Reino Unido,uk,51.50,-0.127
Japón,ja,35.68,139.77
Venezuela,ve,10.5,-66.93
Brasil,bra,-15.79,-47.88
Italia,ita,41.89,12.48
Gran Bretaña,gb,51.50,-0.127
Australia,aus,-35.3,149.14
Bélgica,bel,50.846,4.354
Lituania,lit,54.68,25.28
Colombia,col,4.598,-74.08
Escocia,esc,57,-5
Suecia,sue,59.329,18.068
Ecuador,ecu,-0.21,-78.509
Costa Rica,cos,9.93,-84.083
Cuba,cu,23.11,-82.383
República Checa,rc,50.088,14.421
Bolivia,bol,-19.05,-65.25
Sudáfrica,sud,-25.74,28.188
Polonia,po,52.216,21.03
Grecia,gre,37.979,23.716
Ucrania,ucra,50.45,30.52
Israel,isr,31.78,35.23